nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
ikan sepat segar,84.0,15.2,0.6,4.7
ikan sidat segar,81.0,11.4,1.9,3.8
ikan sunu asin mentah,199.0,34.1,3.8,7.1
ikan sunu segar,111.0,13.3,3.4,6.7
ikan tahuman segar,88.0,15.9,0.9,4.1
ikan tarmon segar,96.0,19.5,1.1,2.0
ikan telan segar,95.0,15.8,0.7,6.5
ikan telur asin mentah,358.0,20.7,26.4,9.4
ikan tembang,204.0,16.0,15.0,0.0
ikan tempahas segar,101.0,15.1,4.1,1.0
ikan tepung mentah,316.0,60.1,6.5,22.4
ikan terbang segar,98.0,19.6,1.7,1.0
ikan teri bubuk,277.0,60.0,2.3,1.8
ikan teri kering,170.0,33.4,3.0,0.0
ikan teri kering tawar,331.0,68.7,4.2,0.0
ikan teri nasi kering,144.0,32.5,0.6,0.0
ikan teri segar,74.0,10.3,1.4,4.1
ikan teri tepung,347.0,48.8,6.4,19.6
ikan titang segar,82.0,17.4,0.4,2.3
ikan tongkol segar,100.0,13.7,1.5,8.0
ikan turi segar,96.0,19.2,2.0,0.2
intip goreng,474.0,7.6,21.6,62.3
itik alabio daging dendeng mentah,496.0,30.3,33.5,18.4
jagung grontol,156.0,2.7,1.3,33.3
jagung kuning giling,361.0,8.7,4.5,72.4
jagung kuning muda,129.0,4.1,1.3,30.3
jagung kuning pipil baru,307.0,7.9,3.4,63.6
jagung kuning pipil kering mentah,366.0,9.8,7.3,69.1
jagung kuning pipil lama,355.0,9.2,3.9,73.7
jagung kuning pipil rebus,154.0,3.8,3.5,28.4
jagung kuning segar,140.0,4.7,1.3,33.1
jagung kuning tepung,355.0,9.2,3.9,73.7
jagung muda,35.0,2.2,0.1,7.4
jagung muda kuning mentah,147.0,5.1,0.7,31.5
jagung muda rebus,142.0,5.0,0.7,30.3
jagung pipil var. harapan kering,367.0,6.2,5.1,76.2
jagung pipil var. metro kering,368.0,5.5,4.6,78.0
jagung putih giling,361.0,8.7,4.5,72.4
jagung putih muda,129.0,4.1,1.3,30.3
jagung putih pipil baru,307.0,7.9,3.4,63.6
jagung putih pipil lama,355.0,9.2,3.9,73.7
jagung putih segar,140.0,4.7,1.3,33.1
jagung titi,374.0,9.4,2.2,79.1
jahe,51.0,1.5,1.0,10.1
jali,289.0,11.0,4.0,61.0
jam selai,239.0,0.5,0.6,64.5
jambal goreng,286.0,48.5,9.2,2.3
jambu air,46.0,0.6,0.0,11.8
jambu biji,49.0,0.9,0.3,12.2
jambu biji putih tidak berbiji,61.0,0.9,0.3,15.4
jambu bol,56.0,0.6,0.3,14.2
jambu monyet buah,64.0,0.7,0.6,15.8
jampang huma mentah,350.0,6.2,1.4,78.2
